"Pastori, Daniele",1,1,a,a,26,26,Medical sciences
"Lip, Gregory Y.H.",2,2,b,b,26,26,Medical sciences
"Farcomeni, Alessio",3,3,b,b,26,26,Medical sciences
"Del Sole, Francesco",4,4,b,b,26,26,Medical sciences
"Sciacqua, Angela",5,5,b,b,26,26,Medical sciences
"Perticone, Francesco",6,6,b,b,26,26,Medical sciences
"Marcucci, Rossella",7,7,b,b,26,26,Medical sciences
"Grifoni, Elisa",8,8,b,b,26,26,Medical sciences
"Violi, Francesco",9,9,b,b,26,26,Medical sciences
"Saliola, Mirella",10,10,c,c,26,26,Medical sciences
"Casciaro, Marco Antonio",11,11,c,c,26,26,Medical sciences
"Menichelli, Danilo",12,12,c,c,26,26,Medical sciences
"Cribari, Francesco",13,13,c,c,26,26,Medical sciences
"Paladino, Alberto",14,14,c,c,26,26,Medical sciences
"Gingis, Rony",15,15,c,c,26,26,Medical sciences
"Novo, Marta",16,16,c,c,26,26,Medical sciences
"Cammisotto, Vittoria",17,17,c,c,26,26,Medical sciences
"Nocella, Cristina",18,18,d,d,26,26,Medical sciences
"Bartimoccia, Simona",19,19,d,d,26,26,Medical sciences
"Carnevale, Roberto",20,20,d,d,26,26,Medical sciences
"Iannucci, Patrizia",22,22,d,d,26,26,Medical sciences
"Sabbatini, Elio",23,23,d,d,26,26,Medical sciences
"Anastasio, Luigi",24,24,d,d,26,26,Medical sciences
"Eliezer, Joseph Tassone",25,25,d,d,26,26,Medical sciences
"Pignatelli, Pasquale",26,26,l,l,26,26,Medical sciences
"Lanci, Luca",1,1,a,a,32,32,Geosciences
"Zanella, Elena",2,2,b,b,32,32,Geosciences
"Jovane, Luigi",3,3,b,b,32,32,Geosciences
"Galeotti, Simone",4,4,b,b,32,32,Geosciences
"Alonso-García, Montserrat",5,5,b,b,32,32,Geosciences
"Alvarez-Zarikian, Carlos A.",6,6,b,b,32,32,Geosciences
"Bejugam, Nagender Nath",7,7,b,b,32,32,Geosciences
"Betzler, Christian",8,8,b,b,32,32,Geosciences
"Blättler, Clara L.",9,9,b,b,32,32,Geosciences
"Eberli, Gregor P.",10,10,b,b,32,32,Geosciences
"Guo, Junhua Adam",11,11,b,b,32,32,Geosciences
"Haffen, Sébastien",12,12,c,c,32,32,Geosciences
"Horozal, Senay",13,13,c,c,32,32,Geosciences
"Inoue, Mayuri",14,14,c,c,32,32,Geosciences
"Kroon, Dick",15,15,c,c,32,32,Geosciences
"Laya, Juan Carlos",16,16,c,c,32,32,Geosciences
"Lüdmann, Thomas",18,18,c,c,32,32,Geosciences
"Nakakuni, Masatoshi",19,19,c,c,32,32,Geosciences
"Niino, Kaoru",20,20,c,c,32,32,Geosciences
"Petruny, Loren M.",21,21,c,c,32,32,Geosciences
"Pratiwi, Santi D.",22,22,d,d,32,32,Geosciences
"Reijmer, John J.G.",23,23,d,d,32,32,Geosciences
"Reolid, Jesús",24,24,d,d,32,32,Geosciences
"Slagle, Angela L.",25,25,d,d,32,32,Geosciences
"Sloss, Craig R.",26,26,d,d,32,32,Geosciences
"Su, Xiang",27,27,d,d,32,32,Geosciences
"Swart, Peter K.",28,28,d,d,32,32,Geosciences
"Wright, James D.",29,29,d,d,32,32,Geosciences
"Yao, Zhengquan",30,30,d,d,32,32,Geosciences
"Young, Jeremy R.",31,31,d,d,32,32,Geosciences
"Bialik, Or M.",32,32,l,l,32,32,Geosciences
"Gitt, Anselm K.",1,1,a,a,28,14,Medical sciences
"Lautsch, Dominik",2,2,b,b,28,14,Medical sciences
"Ferrières, Jean",3,3,b,b,28,14,Medical sciences
"De Ferrari, Gaetano M.",4,4,b,b,28,14,Medical sciences
"Vyas, Ami",5,5,b,b,28,14,Medical sciences
"Baxter, Carl A.",6,6,b,c,28,14,Medical sciences
"Bash, Lori D.",7,7,b,c,28,14,Medical sciences
"Ashton, Veronica",8,8,b,c,28,14,Medical sciences
"Almahmeed, Wael",9,9,b,c,28,14,Medical sciences
"Chiang, Fu-Tien",10,10,c,d,28,14,Medical sciences
"Poh, Kian Keong",11,11,c,d,28,14,Medical sciences
"Brudi, Philippe",12,12,c,d,28,14,Medical sciences
"Ambegaonkar, Baishali",13,13,c,d,28,14,Medical sciences
"Gitt, Anselm K.",14,1,c,a,28,14,Medical sciences
"Lautsch, Dominik",15,2,c,b,28,14,Medical sciences
"Ferrières, Jean",16,3,c,b,28,14,Medical sciences
"De Ferrari, Gaetano M.",17,4,c,b,28,14,Medical sciences
"Vyas, Ami",18,5,c,b,28,14,Medical sciences
"Baxter, Carl A.",19,6,d,c,28,14,Medical sciences
"Bash, Lori D.",20,7,d,c,28,14,Medical sciences
"Ashton, Veronica",21,8,d,c,28,14,Medical sciences
"Horack, Martin",22,14,d,l,28,14,Medical sciences
"Almahmeed, Wael",23,9,d,c,28,14,Medical sciences
"Chiang, Fu-Tien",24,10,d,d,28,14,Medical sciences
"Poh, Kian Keong",25,11,d,d,28,14,Medical sciences
"Brudi, Philippe",26,12,d,d,28,14,Medical sciences
"Ambegaonkar, Baishali",27,13,d,d,28,14,Medical sciences
"Horack, Martin",28,14,l,l,28,14,Medical sciences
"Gitt, Anselm K.",1,1,a,a,28,14,Medical sciences
"Lautsch, Dominik",2,2,b,b,28,14,Medical sciences
"Ferrières, Jean",3,3,b,b,28,14,Medical sciences
"De Ferrari, Gaetano M.",4,4,b,b,28,14,Medical sciences
"Vyas, Ami",5,5,b,b,28,14,Medical sciences
"Baxter, Carl A.",6,6,b,c,28,14,Medical sciences
"Bash, Lori D.",7,7,b,c,28,14,Medical sciences
"Ashton, Veronica",8,8,b,c,28,14,Medical sciences
"Almahmeed, Wael",9,9,b,c,28,14,Medical sciences
"Chiang, Fu-Tien",10,10,c,d,28,14,Medical sciences
"Poh, Kian Keong",11,11,c,d,28,14,Medical sciences
"Brudi, Philippe",12,12,c,d,28,14,Medical sciences
"Ambegaonkar, Baishali",13,13,c,d,28,14,Medical sciences
"Gitt, Anselm K.",14,1,c,a,28,14,Medical sciences
"Lautsch, Dominik",15,2,c,b,28,14,Medical sciences
"Ferrières, Jean",16,3,c,b,28,14,Medical sciences
"De Ferrari, Gaetano M.",17,4,c,b,28,14,Medical sciences
"Vyas, Ami",18,5,c,b,28,14,Medical sciences
"Baxter, Carl A.",19,6,d,c,28,14,Medical sciences
"Bash, Lori D.",20,7,d,c,28,14,Medical sciences
"Ashton, Veronica",21,8,d,c,28,14,Medical sciences
"Horack, Martin",22,14,d,l,28,14,Medical sciences
"Almahmeed, Wael",23,9,d,c,28,14,Medical sciences
"Chiang, Fu-Tien",24,10,d,d,28,14,Medical sciences
"Poh, Kian Keong",25,11,d,d,28,14,Medical sciences
"Brudi, Philippe",26,12,d,d,28,14,Medical sciences
"Ambegaonkar, Baishali",27,13,d,d,28,14,Medical sciences
"Horack, Martin",28,14,l,l,28,14,Medical sciences
"Bueno, G.",1,1,a,a,14,15,Geosciences
"de Blas, M.",2,2,b,b,14,15,Geosciences
"Pérez-Iribarren, E.",3,3,b,b,14,15,Geosciences
"Zuazo, I.",4,4,b,b,14,15,Geosciences
"Torre-Pascual, E.",5,5,b,b,14,15,Geosciences
"Erauskin, A.",6,6,c,c,14,15,Geosciences
"Etxano, I.",7,7,c,c,14,15,Geosciences
"Tamayo, U.",8,8,c,c,14,15,Geosciences
"García, M.",9,9,c,c,14,15,Geosciences
"Akizu-Gardoki, O.",10,10,d,d,14,15,Geosciences
"León, I.",11,11,d,d,14,15,Geosciences
"Marieta, C.",12,12,d,d,14,15,Geosciences
"Zulueta, G.",13,14,d,d,14,15,Geosciences
"Barrio, I.",14,15,l,l,14,15,Geosciences
"Ramus, Claire",1,1,a,a,18,18,Biological sciences
"Hovasse, Agnès",2,2,b,b,18,18,Biological sciences
"Marcellin, Marlène",3,3,b,b,18,18,Biological sciences
"Hesse, Anne-Marie",4,4,b,b,18,18,Biological sciences
"Mouton-Barbosa, Emmanuelle",5,5,b,b,18,18,Biological sciences
"Bouyssié, David",6,6,b,b,18,18,Biological sciences
"Vaca, Sebastian",7,7,c,c,18,18,Biological sciences
"Carapito, Christine",8,8,c,c,18,18,Biological sciences
