10.1016/j.dib.2018.01.109,"Stefano, Tiziana Di",21,Medical sciences
10.1016/j.dib.2019.104666,"Hui Mee, Anna Ling",17,Geosciences
10.1016/j.dib.2022.107847,"Saez de Cámara, Estibaliz",13,Geosciences
10.1016/j.dib.2015.11.063,"Dorssaeler, Alain Van",13,Biological sciences
10.1016/j.dib.2021.107615,"Zemp, Clara Delphine",11,Geosciences
10.1016/j.dib.2018.10.104,"Rescio, Leslie",11,Computer & Mathematical sciences
10.1016/j.dib.2018.11.131,"Henneb, Mohammed",9,Biological sciences
10.1016/j.dib.2019.104768,"Tersali, Alessandra",10,Medical sciences
10.1016/j.dib.2019.104768,"Dell’Anna, Antonio Maria",11,Medical sciences
10.1016/j.dib.2019.104768,"De Pascale, Gennaro",12,Medical sciences
10.1016/j.dib.2021.107362,"Junqueira, Luis Orlando Lopes",9,Social sciences & Humanities
10.1016/j.dib.2016.03.053,"De Siqueira, Cláudio Lísias Mafra",8,Biological sciences
10.1016/j.dib.2015.09.029,"Jun Wang, Xiu",8,Medical sciences
10.1016/j.dib.2022.108265,"Ouahabi, Abdessamad El",8,Medical sciences
10.1016/j.dib.2019.103848,"Santos, Larissa Dos",8,Geosciences
10.1016/j.dib.2017.08.015,"Maria Leone, Antonio",8,Medical sciences
10.1016/j.dib.2022.107960,"Bouveresse, Delphine Jouan-Rimbaud",8,Biological sciences
10.1016/j.dib.2018.08.213,"Tector, A. Joseph",8,Medical sciences
10.1016/j.dib.2016.02.004,"O’Connor, Robert",8,Biological sciences
10.1016/j.dib.2016.02.004,"Vasconcelos, M. Helena",9,Biological sciences
10.1016/j.dib.2020.106651,"Khomenko, Alexandr E",8,Medical sciences
10.1016/j.dib.2020.106022,"Lamarque, Thierry",7,Geosciences
10.1016/j.dib.2018.10.014,"Ferrel-Álvarez, A.C.",7,Engineering
10.1016/j.dib.2017.04.050,"Lanišnik Rižner, Tea",7,Biological sciences
10.1016/j.dib.2015.01.001,"D׳Aco, Kristin",7,Biological sciences
10.1016/j.dib.2019.104177,"Sobrinho, Mellissa Sousa",7,Geosciences
10.1016/j.dib.2019.103780,"Akahane, Manabu",7,Medical sciences
10.1016/j.dib.2019.104192,"Eksund, Bengt",7,Computer & Mathematical sciences
10.1016/j.dib.2022.108152,"Zhang, Yang",7,Physics & Chemistry
10.1016/j.dib.2018.12.053,"Watanabe, Yuuki",7,Medical sciences
10.1016/j.dib.2016.02.073,"Gupta, Sandip Sen",7,Biological sciences
10.1016/j.dib.2018.11.001,"Navarro-Silva, Mário Antônio",7,Medical sciences
10.1016/j.dib.2015.07.030,"Αthanassakis, Ι.",7,Engineering
10.1016/j.dib.2019.104055,"Mohioudin Gillani, Syed Shah",7,Biological sciences
10.1016/j.dib.2021.107442,"Reis, Paulo Eduardo Ocke",7,Medical sciences
10.1016/j.dib.2021.107442,"Rosello, Eduardo Sebastian Sarutte",35,Medical sciences
10.1016/j.dib.2014.08.006,"Giorgio Righetti, Pier",7,FALSE
10.1016/j.dib.2014.08.006,"Marco Ghiggeri, Gian",8,FALSE
10.1016/j.dib.2021.106755,"Monsada, Araceli M.",7,Geosciences
10.1016/j.dib.2020.105547,"Rebolledo, Boris",6,Engineering
10.1016/j.dib.2018.04.056,"O’Donnell, Colm P.",6,Physics & Chemistry
10.1016/j.dib.2017.04.032,"Tenório, Daniel",6,Computer & Mathematical sciences
10.1016/j.dib.2021.106906,"Bacci, Barbara', ""D'Annunzio, Giulia"", 'Amadori, Massimo",7,Medical sciences
10.1016/j.dib.2022.108447,"Gioacchini, Silvia",9,Engineering
10.1016/j.dib.2019.103838,"Shah, Nilay D.",7,Engineering
10.1016/j.dib.2019.103838,"Shirley Wu, Yi Shuan",8,Engineering
10.1016/j.dib.2019.104002,"Kasuga, Noriko Chikaraishi",6,Physics & Chemistry
10.1016/j.dib.2016.02.053,"Peter Wong, Tsun-Hon",6,Biological sciences
10.1016/j.dib.2022.108567,"Han, Jun Hyun",6,Engineering
10.1016/j.dib.2021.107484,"Murad, Aizuri",6,Medical sciences
10.1016/j.dib.2022.108633,"Orlando, Beatrice",6,Geosciences
10.1016/j.dib.2017.06.054,"Cleonice Vergne, Maria",6,Biological sciences
10.1016/j.dib.2018.11.100,"Bona, Maria Della",6,Physics & Chemistry
10.1016/j.dib.2018.09.055,"Pires Basto, Maria Clara",6,Geosciences
10.1016/j.dib.2018.03.045,"Rashid, Masturah Bte Mohd Abdul",6,Biological sciences
10.1016/j.dib.2020.106413,"Chehouri, Jana El",6,Biological sciences
10.1016/j.dib.2018.07.010,"Chevalot, Isabelle', ""Guiavarc'H, Yann",6,Biological sciences
10.1016/j.dib.2018.03.123,"Uwa, Clementina U.",6,Geosciences
10.1016/j.dib.2018.03.123,"Hossain, Md. Faruque",7,Geosciences
10.1016/j.dib.2020.105646,"Babic, Natarsha",6,Biological sciences
10.1016/j.dib.2020.105646,"Pađen, Lana",8,Biological sciences
10.1016/j.dib.2021.107202,"Gallerani, Andrea",6,Geosciences
10.1016/j.dib.2021.107202,"Miserocchi, Stefano",10,Geosciences
10.1016/j.dib.2021.107202,"Savelli, Fabio",12,Geosciences
10.1016/j.dib.2021.107202,"López Correa, Matthias",15,Geosciences
10.1016/j.dib.2020.106598,"Aierken, Aili",6,Biological sciences
10.1016/j.dib.2020.106598,"Zhang, Xiaoying",7,Biological sciences
10.1016/j.dib.2020.106098,"Adedeji, P.A.",5,Engineering
10.1016/j.dib.2020.106066,"González, Virginia I.",5,Social sciences & Humanities
