Data Paper,Research Paper,Dauthors,Rauthors,Dnumber,Rnumber,Discipline,Subjects,RBO,Jaccard,LevenshteinDistance,LevenshteinRatio
10.1016/j.dib.2021.106920,S0025326X21001053,"['Bouchet, Vincent M.P.', 'Frontalini, Fabrizio', 'Francescangeli, Fabio', 'Sauriau, Pierre-Guy', 'Geslin, Emmanuelle', 'Martins, Maria Virginia Alves', 'Almogi-Labin, Ahuva', 'Avnaim-Katav, Simona', 'Cearreta, Alejandro', 'Coccioni, Rodolfo', 'Costelloe, Ashleigh', 'Dimiza, Margarita D.', 'Ferraro, Luciana', 'Haynert, Kristin', 'Martínez-Colón, Michael', 'Melis, Romana', 'Schweizer, Magali', 'Triantaphyllou, Maria V.', 'Tsujimoto, Akira', 'Wilson, Brent', 'Armynot Du Châtelet, Eric', 'Bella, Letizia Di']","['Bouchet, Vincent M.P.', 'Frontalini, Fabrizio', 'Francescangeli, Fabio', 'Sauriau, Pierre-Guy', 'Geslin, Emmanuelle', 'Martins, Maria Virginia Alves', 'Almogi-Labin, Ahuva', 'Avnaim-Katav, Simona', 'Cearreta, Alejandro', 'Coccioni, Rodolfo', 'Costelloe, Ashleigh', 'Dimiza, Margarita D.', 'Ferraro, Luciana', 'Haynert, Kristin', 'Martínez-Colón, Michael', 'Melis, Romana', 'Schweizer, Magali', 'Triantaphyllou, Maria V.', 'Tsujimoto, Akira', 'Wilson, Brent', 'Armynot Du Châtelet, Eric', 'Di Bella, Letizia']",22,22,Environmental Science,Geosciences,0.999999989,0.956521739,1,0.977777778
10.1016/j.dib.2018.01.109,S0167527317376830,"['Pastori, Daniele', 'Lip, Gregory Y.H.', 'Farcomeni, Alessio', 'Del Sole, Francesco', 'Sciacqua, Angela', 'Perticone, Francesco', 'Marcucci, Rossella', 'Grifoni, Elisa', 'Violi, Francesco', 'Saliola, Mirella', 'Casciaro, Marco Antonio', 'Menichelli, Danilo', 'Cribari, Francesco', 'Paladino, Alberto', 'Gingis, Rony', 'Novo, Marta', 'Cammisotto, Vittoria', 'Nocella, Cristina', 'Bartimoccia, Simona', 'Carnevale, Roberto', 'Stefano, Tiziana Di', 'Iannucci, Patrizia', 'Sabbatini, Elio', 'Anastasio, Luigi', 'Eliezer, Joseph Tassone', 'Pignatelli, Pasquale']","['Pastori, Daniele', 'Lip, Gregory Y.H.', 'Farcomeni, Alessio', 'Del Sole, Francesco', 'Sciacqua, Angela', 'Perticone, Francesco', 'Marcucci, Rossella', 'Grifoni, Elisa', 'Violi, Francesco', 'Saliola, Mirella', 'Casciaro, Marco Antonio', 'Menichelli, Danilo', 'Cribari, Francesco', 'Paladino, Alberto', 'Gingis, Rony', 'Novo, Marta', 'Cammisotto, Vittoria', 'Nocella, Cristina', 'Bartimoccia, Simona', 'Carnevale, Roberto', 'Di Stefano, Tiziana', 'Iannucci, Patrizia', 'Sabbatini, Elio', 'Anastasio, Luigi', 'Eliezer, Joseph Tassone', 'Pignatelli, Pasquale']",26,26,Medicine and Dentistry,Medical sciences,0.999999957,0.962962963,2,0.943396226
10.1016/j.dib.2019.104666,S0031018219301622,"['Lanci, Luca', 'Zanella, Elena', 'Jovane, Luigi', 'Galeotti, Simone', 'Alonso-García, Montserrat', 'Alvarez-Zarikian, Carlos A.', 'Bejugam, Nagender Nath', 'Betzler, Christian', 'Blättler, Clara L.', 'Eberli, Gregor P.', 'Guo, Junhua Adam', 'Haffen, Sébastien', 'Horozal, Senay', 'Inoue, Mayuri', 'Kroon, Dick', 'Laya, Juan Carlos', 'Hui Mee, Anna Ling', 'Lüdmann, Thomas', 'Nakakuni, Masatoshi', 'Niino, Kaoru', 'Petruny, Loren M.', 'Pratiwi, Santi D.', 'Reijmer, John J.G.', 'Reolid, Jesús', 'Slagle, Angela L.', 'Sloss, Craig R.', 'Su, Xiang', 'Swart, Peter K.', 'Wright, James D.', 'Yao, Zhengquan', 'Young, Jeremy R.', 'Bialik, Or M.']","['Lanci, Luca', 'Zanella, Elena', 'Jovane, Luigi', 'Galeotti, Simone', 'Alonso-García, Montserrat', 'Alvarez-Zarikian, Carlos A.', 'Bejugam, Nagender Nath', 'Betzler, Christian', 'Blättler, Clara L.', 'Eberli, Gregor P.', 'Guo, Junhua Adam', 'Haffen, Sébastien', 'Horozal, Senay', 'Inoue, Mayuri', 'Kroon, Dick', 'Laya, Juan Carlos', 'Mee, Anna Ling Hui', 'Lüdmann, Thomas', 'Nakakuni, Masatoshi', 'Niino, Kaoru', 'Petruny, Loren M.', 'Pratiwi, Santi D.', 'Reijmer, John J.G.', 'Reolid, Jesús', 'Slagle, Angela L.', 'Sloss, Craig R.', 'Su, Xiang', 'Swart, Peter K.', 'Wright, James D.', 'Yao, Zhengquan', 'Young, Jeremy R.', 'Bialik, Or M.']",32,32,Earth and Planetary Sciences,Geosciences,0.999999148,0.96969697,2,0.953846154
10.1016/j.dib.2017.11.034,S0021915017312352,"['Gitt, Anselm K.', 'Lautsch, Dominik', 'Ferrières, Jean', 'De Ferrari, Gaetano M.', 'Vyas, Ami', 'Baxter, Carl A.', 'Bash, Lori D.', 'Ashton, Veronica', 'Almahmeed, Wael', 'Chiang, Fu-Tien', 'Poh, Kian Keong', 'Brudi, Philippe', 'Ambegaonkar, Baishali', 'Horack, Martin']","['Gitt, Anselm K.', 'Lautsch, Dominik', 'Ferrières, Jean', 'De Ferrari, Gaetano M.', 'Vyas, Ami', 'Baxter, Carl A.', 'Bash, Lori D.', 'Ashton, Veronica', 'Almahmeed, Wael', 'Chiang, Fu-Tien', 'Poh, Kian Keong', 'Brudi, Philippe', 'Ambegaonkar, Baishali', 'Gitt, Anselm K.', 'Lautsch, Dominik', 'Ferrières, Jean', 'De Ferrari, Gaetano M.', 'Vyas, Ami', 'Baxter, Carl A.', 'Bash, Lori D.', 'Ashton, Veronica', 'Horack, Martin', 'Almahmeed, Wael', 'Chiang, Fu-Tien', 'Poh, Kian Keong', 'Brudi, Philippe', 'Ambegaonkar, Baishali', 'Horack, Martin']",14,28,Medicine and Dentistry,Medical sciences,0.999984554,1,14,0.666666667
10.1016/j.dib.2018.04.092,S0021915017312352,"['Gitt, Anselm K.', 'Lautsch, Dominik', 'Ferrières, Jean', 'De Ferrari, Gaetano M.', 'Vyas, Ami', 'Baxter, Carl A.', 'Bash, Lori D.', 'Ashton, Veronica', 'Almahmeed, Wael', 'Chiang, Fu-Tien', 'Poh, Kian Keong', 'Brudi, Philippe', 'Ambegaonkar, Baishali', 'Horack, Martin']","['Gitt, Anselm K.', 'Lautsch, Dominik', 'Ferrières, Jean', 'De Ferrari, Gaetano M.', 'Vyas, Ami', 'Baxter, Carl A.', 'Bash, Lori D.', 'Ashton, Veronica', 'Almahmeed, Wael', 'Chiang, Fu-Tien', 'Poh, Kian Keong', 'Brudi, Philippe', 'Ambegaonkar, Baishali', 'Gitt, Anselm K.', 'Lautsch, Dominik', 'Ferrières, Jean', 'De Ferrari, Gaetano M.', 'Vyas, Ami', 'Baxter, Carl A.', 'Bash, Lori D.', 'Ashton, Veronica', 'Horack, Martin', 'Almahmeed, Wael', 'Chiang, Fu-Tien', 'Poh, Kian Keong', 'Brudi, Philippe', 'Ambegaonkar, Baishali', 'Horack, Martin']",14,28,Medicine and Dentistry,Medical sciences,0.999984554,1,14,0.666666667
10.1016/j.dib.2022.107847,10.1016/j.jclepro.2021.128019,"['Bueno, Gorka', 'de Blas, Maite', 'Pérez-Iribarren, Estibaliz', 'Zuazo, Iñaki', 'Torre-Pascual, Eduardo', 'Erauskin, Artitzar', 'Etxano, Iker', 'Tamayo, Unai', 'García, María', 'Akizu-Gardoki, Ortzi', 'León, Iñigo', 'Marieta, Cristina', 'Saez de Cámara, Estibaliz', 'Zulueta, Gaizka', 'Barrio, Isaac']","['Bueno, G.', 'de Blas, M.', 'Pérez-Iribarren, E.', 'Zuazo, I.', 'Torre-Pascual, E.', 'Erauskin, A.', 'Etxano, I.', 'Tamayo, U.', 'García, M.', 'Akizu-Gardoki, O.', 'León, I.', 'Marieta, C.', 'Zulueta, G.', 'Barrio, I.']",15,14,Environmental Science,Geosciences,0.999984215,0.482758621,15,0.651162791
10.1016/j.dib.2015.11.063,S187439191530186X,"['Ramus, Claire', 'Hovasse, Agnès', 'Marcellin, Marlène', 'Hesse, Anne-Marie', 'Mouton-Barbosa, Emmanuelle', 'Bouyssié, David', 'Vaca, Sebastian', 'Carapito, Christine', 'Bruley, Christophe', 'Garin, Jérôme', 'Cianférani, Sarah', 'Ferro, Myriam', 'Dorssaeler, Alain Van', 'Burlet-Schiltz, Odile', 'Schaeffer, Christine', 'Couté, Yohann', 'Gonzalez De Peredo, Anne', 'Chaoui, Karima']","['Ramus, Claire', 'Hovasse, Agnès', 'Marcellin, Marlène', 'Hesse, Anne-Marie', 'Mouton-Barbosa, Emmanuelle', 'Bouyssié, David', 'Vaca, Sebastian', 'Carapito, Christine', 'Bruley, Christophe', 'Garin, Jérôme', 'Cianférani, Sarah', 'Ferro, Myriam', 'Van Dorssaeler, Alain', 'Burlet-Schiltz, Odile', 'Schaeffer, Christine', 'Couté, Yohann', 'Gonzalez De Peredo, Anne', 'Chaoui, Karima']",18,18,"Biochemistry, Genetics and Molecular Biology",Biological sciences,0.999982601,0.947368421,2,0.918918919
10.1016/j.dib.2021.107615,S0378112721005697,"['Donfack, Laura Somenguem', 'Röll, Alexander', 'Ellsäßer, Florian', 'Ehbrecht, Martin', 'Irawan, Bambang', 'Hölscher, Dirk', 'Knohl, Alexander', 'Kreft, Holger', 'Sundawati, Leti', 'Stiegler, Christian', 'Zemp, Clara Delphine', 'Siahaan, Eduard J.']","['Donfack, Laura Somenguem', 'Röll, Alexander', 'Ellsäßer, Florian', 'Ehbrecht, Martin', 'Irawan, Bambang', 'Hölscher, Dirk', 'Knohl, Alexander', 'Kreft, Holger', 'Sundawati, Leti', 'Stiegler, Christian', 'Zemp, Delphine Clara', 'Siahaan, Eduard J.']",12,12,Environmental Science,Geosciences,0.99993525,0.923076923,2,0.88
10.1016/j.dib.2015.04.022,S0142961215003725,"['Selvaraj, Vellaisamy', 'Nepal, Niraj', 'Rogers, Steven', 'Manne, Nandini D.P.K.', 'Arvapalli, Ravikumar', 'Rice, Kevin M.', 'Asano, Shinichi', 'Fankenhanel, Erin', 'Shokuhfar, Tolou', 'Maheshwari, Mani', 'Blough, Eric R.', 'Ma, J.Y.']","['Selvaraj, Vellaisamy', 'Nepal, Niraj', 'Rogers, Steven', 'Manne, Nandini D.P.K.', 'Arvapalli, Ravikumar', 'Rice, Kevin M.', 'Asano, Shinichi', 'Fankhanel, Erin', 'Shokuhfar, Tolou', 'Maheshwari, Mani', 'Blough, Eric R.', 'Selvaraj, Vellaisamy', 'Nepal, Niraj', 'Rogers, Steven', 'Manne, Nandini D.P.K.', 'Arvapalli, Ravikumar', 'Rice, Kevin M.', 'Asano, Shinichi', 'Fankhanel, Erin', 'Ma, Jane J.', 'Shokuhfar, Tolou', 'Maheshwari, Mani', 'Blough, Eric R.', 'Ma, Jane J.']",12,24,Immunology and Microbiology,Medical sciences,0.999929129,1,12,0.631578947
10.1016/j.dib.2015.04.023,S0142961215003725,"['Selvaraj, Vellaisamy', 'Nepal, Niraj', 'Rogers, Steven', 'Manne, Nandini D.P.K.', 'Arvapalli, Ravikumar', 'Rice, Kevin M.', 'Asano, Shinichi', 'Fankenhanel, Erin', 'Shokuhfar, Tolou', 'Maheshwari, Mani', 'Blough, Eric R.', 'Ma, J.Y.']","['Selvaraj, Vellaisamy', 'Nepal, Niraj', 'Rogers, Steven', 'Manne, Nandini D.P.K.', 'Arvapalli, Ravikumar', 'Rice, Kevin M.', 'Asano, Shinichi', 'Fankhanel, Erin', 'Shokuhfar, Tolou', 'Maheshwari, Mani', 'Blough, Eric R.', 'Selvaraj, Vellaisamy', 'Nepal, Niraj', 'Rogers, Steven', 'Manne, Nandini D.P.K.', 'Arvapalli, Ravikumar', 'Rice, Kevin M.', 'Asano, Shinichi', 'Fankhanel, Erin', 'Ma, Jane J.', 'Shokuhfar, Tolou', 'Maheshwari, Mani', 'Blough, Eric R.', 'Ma, Jane J.']",12,24,Materials Sciences,Engineering,0.999929129,1,12,0.631578947
